Magnitude,Type,Ingredient 1,Ingredient 2,Ingredient 3,Effects,Effect 1,Effect 2,Effect 3,Effect 4,Effect 5,MyPotionID,Can Make
108,Mixed,Blue Mountain Flower,Bone Meal,Spider Egg,3,Fortify Conjuration,Damage Stamina,Damage Magicka Regen,,,3416,TRUE
108,Mixed,Blue Mountain Flower,Butterfly Wing,Glow Dust,3,Restore Health,Damage Magicka,Damage Magicka Regen,,,3429,TRUE
108,Mixed,Blue Mountain Flower,Glow Dust,Hagraven Feathers,3,Damage Magicka Regen,Damage Magicka,Fortify Conjuration,,,3628,TRUE
108,Mixed,Blue Mountain Flower,Glow Dust,Swamp Fungal Pod,3,Damage Magicka Regen,Resist Shock,Restore Health,,,3643,TRUE
108,Mixed,Blue Mountain Flower,Rock Warbler Egg,Spider Egg,3,Restore Health,Damage Stamina,Damage Magicka Regen,,,3780,TRUE
108,Mixed,Glow Dust,Hagraven Feathers,Nightshade,3,Damage Magicka,Damage Magicka Regen,Fortify Destruction,,,11513,TRUE
108,Mixed,Glow Dust,Luna Moth Wing,Nightshade,3,Damage Magicka,Damage Magicka Regen,Fortify Destruction,,,11598,TRUE
108,Mixed,Glow Dust,Nightshade,Nordic Barnacle,3,Damage Magicka Regen,Fortify Destruction,Damage Magicka,,,11624,TRUE
108,Mixed,Glow Dust,Nightshade,Snowberries,3,Damage Magicka Regen,Fortify Destruction,Resist Shock,,,11631,TRUE
108,Mixed,Glow Dust,Nightshade,Swamp Fungal Pod,3,Damage Magicka Regen,Fortify Destruction,Resist Shock,,,11632,TRUE
107,Mixed,Blisterwort,Spider Egg,Spriggan Sap,3,Damage Stamina,Damage Magicka Regen,Fortify Smithing,,,2648,TRUE
107,Mixed,Blue Butterfly Wing,Canis Root,Spider Egg,3,Damage Stamina,Damage Magicka Regen,Fortify Marksman,,,2724,TRUE
107,Mixed,Blue Mountain Flower,Imp Stool,Nightshade,3,Restore Health,Damage Health,Damage Magicka Regen,,,3716,TRUE
107,Mixed,Canis Root,Spider Egg,Spriggan Sap,3,Damage Stamina,Fortify Marksman,Damage Magicka Regen,,,5163,TRUE
107,Mixed,Creep Cluster,Ectoplasm,Skeever Tail,3,Restore Magicka,Damage Stamina Regen,Damage Health,,,6318,TRUE
107,Mixed,Creep Cluster,Frost Mirriam,Purple Mountain Flower,3,Damage Stamina Regen,Fortify Sneak,Resist Frost,,,6392,TRUE
107,Mixed,Creep Cluster,Frost Mirriam,Red Mountain Flower,3,Damage Stamina Regen,Restore Magicka,Ravage Magicka,,,6393,TRUE
107,Mixed,Creep Cluster,Frost Mirriam,Taproot,3,Damage Stamina Regen,Weakness to Magic,Restore Magicka,,,6402,TRUE
107,Mixed,Creep Cluster,Frost Mirriam,White Cap,3,Damage Stamina Regen,Restore Magicka,Ravage Magicka,,,6406,TRUE
107,Mixed,Creep Cluster,Giant Lichen,Skeever Tail,3,Restore Magicka,Damage Stamina Regen,Ravage Health,,,6450,TRUE
107,Mixed,Creep Cluster,Histcarp,Taproot,3,Damage Stamina Regen,Weakness to Magic,Restore Magicka,,,6558,TRUE
107,Mixed,Creep Cluster,Histcarp,Torchbug Thorax,3,Damage Stamina Regen,Restore Stamina,Weakness to Magic,,,6559,TRUE
107,Mixed,Creep Cluster,Red Mountain Flower,Skeever Tail,3,Restore Magicka,Damage Stamina Regen,Damage Health,,,6710,TRUE
107,Mixed,Creep Cluster,Skeever Tail,Taproot,3,Damage Stamina Regen,Weakness to Magic,Restore Magicka,,,6778,TRUE
107,Mixed,Ectoplasm,Glow Dust,Nightshade,3,Fortify Destruction,Damage Health,Damage Magicka Regen,,,8594,TRUE
107,Mixed,Frost Mirriam,Histcarp,Orange Dartwing,3,Damage Stamina Regen,Restore Stamina,Ravage Magicka,,,10367,TRUE
107,Mixed,Frost Mirriam,Purple Mountain Flower,Skeever Tail,3,Resist Frost,Fortify Sneak,Damage Stamina Regen,,,10519,TRUE
107,Mixed,Glow Dust,Nightshade,Nirnroot,3,Damage Magicka Regen,Fortify Destruction,Damage Health,,,11623,TRUE
107,Mixed,Glow Dust,Nightshade,Red Mountain Flower,3,Damage Magicka Regen,Fortify Destruction,Damage Health,,,11627,TRUE
107,Mixed,Glow Dust,Nightshade,Skeever Tail,3,Damage Magicka Regen,Fortify Destruction,Damage Health,,,11629,TRUE
107,Mixed,Glow Dust,Nightshade,Troll Fat,3,Damage Magicka Regen,Fortify Destruction,Damage Health,,,11633,TRUE
107,Mixed,Glow Dust,Nightshade,Void Salts,3,Damage Magicka Regen,Fortify Destruction,Damage Health,,,11634,TRUE
107,Mixed,Histcarp,Honeycomb,Skeever Tail,3,Restore Stamina,Damage Stamina Regen,Fortify Light Armor,,,12614,TRUE
106,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Snowberries,3,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,,,2681,TRUE
106,Mixed,Blue Butterfly Wing,Blue Mountain Flower,Spriggan Sap,3,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,,,2683,TRUE
106,Mixed,Blue Butterfly Wing,Hagraven Feathers,Spriggan Sap,3,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,,,2909,TRUE
106,Mixed,Blue Butterfly Wing,Lavender,Spriggan Sap,3,Fortify Conjuration,Damage Magicka Regen,Fortify Enchanting,,,2970,TRUE
106,Mixed,Blue Mountain Flower,Butterfly Wing,Nightshade,3,Restore Health,Damage Magicka Regen,Lingering Damage Stamina,,,3439,TRUE
106,Mixed,Creep Cluster,Fire Salts,Frost Mirriam,2,Restore Magicka,Damage Stamina Regen,,,,6354,TRUE
106,Mixed,Creep Cluster,Fire Salts,Histcarp,2,Restore Magicka,Damage Stamina Regen,,,,6358,TRUE
106,Mixed,Creep Cluster,Fire Salts,Skeever Tail,2,Restore Magicka,Damage Stamina Regen,,,,6370,TRUE
106,Mixed,Creep Cluster,Frost Mirriam,Scaly Pholiota,3,Damage Stamina Regen,Weakness to Magic,Fortify Carry Weight,,,6397,TRUE
106,Mixed,Creep Cluster,Histcarp,Scaly Pholiota,3,Damage Stamina Regen,Weakness to Magic,Fortify Carry Weight,,,6555,TRUE
106,Mixed,Creep Cluster,Scaly Pholiota,Skeever Tail,3,Fortify Carry Weight,Weakness to Magic,Damage Stamina Regen,,,6760,TRUE
106,Mixed,Ectoplasm,Histcarp,Skeever Tail,3,Fortify Magicka,Damage Stamina Regen,Damage Health,,,8691,TRUE
106,Mixed,Ectoplasm,Nightshade,Spider Egg,3,Fortify Destruction,Damage Health,Damage Magicka Regen,,,8833,TRUE
106,Mixed,Ectoplasm,Nightshade,Spriggan Sap,3,Fortify Destruction,Damage Health,Damage Magicka Regen,,,8834,TRUE
106,Mixed,Frost Mirriam,Histcarp,Red Mountain Flower,3,Damage Stamina Regen,Ravage Magicka,Fortify Magicka,,,10372,TRUE
106,Mixed,Histcarp,Red Mountain Flower,Skeever Tail,3,Fortify Magicka,Damage Stamina Regen,Damage Health,,,12766,TRUE
106,Mixed,Histcarp,Skeever Tail,Void Salts,3,Damage Stamina Regen,Damage Health,Fortify Magicka,,,12802,TRUE
105,Mixed,Blue Butterfly Wing,Blue Mountain Flower,,2,Fortify Conjuration,Damage Magicka Regen,,,,2686,TRUE
105,Mixed,Glow Dust,Nightshade,,2,Damage Magicka Regen,Fortify Destruction,,,,11635,TRUE
105,Mixed,Blisterwort,Blue Mountain Flower,Glow Dust,2,Restore Health,Damage Magicka Regen,,,,2198,TRUE
105,Mixed,Blisterwort,Blue Mountain Flower,Nightshade,2,Restore Health,Damage Magicka Regen,,,,2205,TRUE
105,Mixed,Blue Butterfly Wing,Glow Dust,Lavender,2,Damage Magicka Regen,Fortify Conjuration,,,,2865,TRUE
105,Mixed,Blue Butterfly Wing,Glow Dust,Nightshade,2,Damage Magicka Regen,Fortify Destruction,,,,2868,TRUE
105,Mixed,Blue Butterfly Wing,Hagraven Feathers,Nightshade,2,Fortify Conjuration,Damage Magicka Regen,,,,2903,TRUE
105,Mixed,Blue Butterfly Wing,Lavender,Nightshade,2,Fortify Conjuration,Damage Magicka Regen,,,,2962,TRUE
105,Mixed,Blue Mountain Flower,Bone Meal,Glow Dust,2,Fortify Conjuration,Damage Magicka Regen,,,,3404,TRUE
105,Mixed,Blue Mountain Flower,Bone Meal,Nightshade,2,Fortify Conjuration,Damage Magicka Regen,,,,3412,TRUE
105,Mixed,Blue Mountain Flower,Bone Meal,Spriggan Sap,2,Fortify Conjuration,Damage Magicka Regen,,,,3417,TRUE
105,Mixed,Blue Mountain Flower,Butterfly Wing,Spider Egg,2,Restore Health,Damage Magicka Regen,,,,3442,TRUE
105,Mixed,Blue Mountain Flower,Butterfly Wing,Spriggan Sap,2,Restore Health,Damage Magicka Regen,,,,3443,TRUE
105,Mixed,Blue Mountain Flower,Glow Dust,Imp Stool,2,Damage Magicka Regen,Restore Health,,,,3632,TRUE
105,Mixed,Blue Mountain Flower,Glow Dust,Lavender,2,Damage Magicka Regen,Fortify Conjuration,,,,3634,TRUE
105,Mixed,Blue Mountain Flower,Glow Dust,Nightshade,2,Damage Magicka Regen,Fortify Destruction,,,,3637,TRUE
105,Mixed,Blue Mountain Flower,Glow Dust,Rock Warbler Egg,2,Damage Magicka Regen,Restore Health,,,,3641,TRUE
105,Mixed,Blue Mountain Flower,Hagraven Feathers,Nightshade,2,Fortify Conjuration,Damage Magicka Regen,,,,3672,TRUE
105,Mixed,Blue Mountain Flower,Hagraven Feathers,Spider Egg,2,Fortify Conjuration,Damage Magicka Regen,,,,3675,TRUE
105,Mixed,Blue Mountain Flower,Hagraven Feathers,Spriggan Sap,2,Fortify Conjuration,Damage Magicka Regen,,,,3676,TRUE
105,Mixed,Blue Mountain Flower,Imp Stool,Spider Egg,2,Restore Health,Damage Magicka Regen,,,,3725,TRUE
105,Mixed,Blue Mountain Flower,Imp Stool,Spriggan Sap,2,Restore Health,Damage Magicka Regen,,,,3726,TRUE
105,Mixed,Blue Mountain Flower,Lavender,Nightshade,2,Fortify Conjuration,Damage Magicka Regen,,,,3749,TRUE
105,Mixed,Blue Mountain Flower,Lavender,Spider Egg,2,Fortify Conjuration,Damage Magicka Regen,,,,3755,TRUE
105,Mixed,Blue Mountain Flower,Lavender,Spriggan Sap,2,Fortify Conjuration,Damage Magicka Regen,,,,3756,TRUE
105,Mixed,Blue Mountain Flower,Nightshade,Rock Warbler Egg,2,Damage Magicka Regen,Restore Health,,,,3768,TRUE
105,Mixed,Blue Mountain Flower,Nightshade,Swamp Fungal Pod,2,Damage Magicka Regen,Restore Health,,,,3771,TRUE
105,Mixed,Blue Mountain Flower,Rock Warbler Egg,Spriggan Sap,2,Restore Health,Damage Magicka Regen,,,,3781,TRUE
105,Mixed,Blue Mountain Flower,Spider Egg,Swamp Fungal Pod,2,Damage Magicka Regen,Restore Health,,,,3786,TRUE
105,Mixed,Blue Mountain Flower,Spriggan Sap,Swamp Fungal Pod,2,Damage Magicka Regen,Restore Health,,,,3789,TRUE
105,Mixed,Creep Cluster,Ectoplasm,Frost Mirriam,2,Restore Magicka,Damage Stamina Regen,,,,6297,TRUE
105,Mixed,Creep Cluster,Elves Ear,Frost Mirriam,2,Restore Magicka,Damage Stamina Regen,,,,6330,TRUE
105,Mixed,Creep Cluster,Elves Ear,Histcarp,2,Restore Magicka,Damage Stamina Regen,,,,6333,TRUE
105,Mixed,Creep Cluster,Elves Ear,Skeever Tail,2,Restore Magicka,Damage Stamina Regen,,,,6344,TRUE
105,Mixed,Creep Cluster,Frost Mirriam,Giant Lichen,2,Damage Stamina Regen,Restore Magicka,,,,6379,TRUE
105,Mixed,Creep Cluster,Frost Mirriam,Mora Tapinella,2,Damage Stamina Regen,Restore Magicka,,,,6388,TRUE
105,Mixed,Creep Cluster,Frost Mirriam,Vampire Dust,2,Damage Stamina Regen,Restore Magicka,,,,6405,TRUE
105,Mixed,Creep Cluster,Giant Lichen,Histcarp,2,Restore Magicka,Damage Stamina Regen,,,,6439,TRUE
105,Mixed,Creep Cluster,Histcarp,Honeycomb,2,Damage Stamina Regen,Restore Stamina,,,,6537,TRUE
105,Mixed,Creep Cluster,Histcarp,Mora Tapinella,2,Damage Stamina Regen,Restore Magicka,,,,6542,TRUE
105,Mixed,Creep Cluster,Histcarp,Mudcrab Chitin,2,Damage Stamina Regen,Restore Stamina,,,,6543,TRUE
105,Mixed,Creep Cluster,Histcarp,Orange Dartwing,2,Damage Stamina Regen,Restore Stamina,,,,6545,TRUE
105,Mixed,Creep Cluster,Histcarp,Purple Mountain Flower,2,Damage Stamina Regen,Restore Stamina,,,,6549,TRUE
105,Mixed,Creep Cluster,Histcarp,Vampire Dust,2,Damage Stamina Regen,Restore Magicka,,,,6561,TRUE
105,Mixed,Creep Cluster,Histcarp,White Cap,2,Damage Stamina Regen,Restore Magicka,,,,6563,TRUE
105,Mixed,Creep Cluster,Mora Tapinella,Skeever Tail,2,Restore Magicka,Damage Stamina Regen,,,,6677,TRUE
105,Mixed,Creep Cluster,Skeever Tail,Vampire Dust,2,Damage Stamina Regen,Restore Magicka,,,,6781,TRUE
105,Mixed,Creep Cluster,Skeever Tail,White Cap,2,Damage Stamina Regen,Restore Magicka,,,,6783,TRUE
105,Mixed,Ectoplasm,Glow Dust,Spider Egg,2,Fortify Destruction,Damage Magicka Regen,,,,8604,TRUE
105,Mixed,Ectoplasm,Glow Dust,Spriggan Sap,2,Fortify Destruction,Damage Magicka Regen,,,,8605,TRUE
105,Mixed,Frost Mirriam,Histcarp,Honeycomb,2,Damage Stamina Regen,Restore Stamina,,,,10359,TRUE
105,Mixed,Frost Mirriam,Histcarp,Mudcrab Chitin,2,Damage Stamina Regen,Restore Stamina,,,,10365,TRUE
105,Mixed,Frost Mirriam,Histcarp,Torchbug Thorax,2,Damage Stamina Regen,Restore Stamina,,,,10379,TRUE
105,Mixed,Histcarp,Mudcrab Chitin,Skeever Tail,2,Restore Stamina,Damage Stamina Regen,,,,12678,TRUE
105,Mixed,Histcarp,Orange Dartwing,Skeever Tail,2,Restore Stamina,Damage Stamina Regen,,,,12708,TRUE
105,Mixed,Histcarp,Purple Mountain Flower,Skeever Tail,2,Restore Stamina,Damage Stamina Regen,,,,12752,TRUE
105,Mixed,Histcarp,Skeever Tail,Torchbug Thorax,2,Damage Stamina Regen,Restore Stamina,,,,12799,TRUE
105,Poison,Blue Butterfly Wing,Nightshade,Nirnroot,3,Damage Magicka Regen,Damage Health,Damage Stamina,,,2977,TRUE
105,Poison,Blue Butterfly Wing,Nightshade,River Betty,2,Damage Magicka Regen,Damage Health,,,,2979,TRUE
105,Poison,Blue Mountain Flower,Nightshade,River Betty,2,Damage Magicka Regen,Damage Health,,,,3767,TRUE
105,Poison,Nightshade,Nirnroot,Spider Egg,3,Damage Health,Damage Stamina,Damage Magicka Regen,,,14440,TRUE
105,Poison,Nightshade,River Betty,Spider Egg,2,Damage Health,Damage Magicka Regen,,,,14460,TRUE
104,Mixed,Blue Butterfly Wing,Canis Root,Spriggan Sap,3,Damage Stamina,Damage Magicka Regen,Fortify Enchanting,,,2725,TRUE
104,Mixed,Blue Butterfly Wing,Glow Dust,Snowberries,3,Damage Magicka Regen,Fortify Enchanting,Resist Shock,,,2874,TRUE
104,Mixed,Blue Butterfly Wing,Nirnroot,Spriggan Sap,3,Damage Stamina,Damage Magicka Regen,Fortify Enchanting,,,2996,TRUE
104,Mixed,Blue Butterfly Wing,Rock Warbler Egg,Spriggan Sap,3,Damage Stamina,Damage Magicka Regen,Fortify Enchanting,,,3008,TRUE
104,Mixed,Blue Butterfly Wing,Snowberries,Spider Egg,3,Fortify Enchanting,Damage Stamina,Damage Magicka Regen,,,3014,TRUE
104,Mixed,Blue Butterfly Wing,Spider Egg,Spriggan Sap,3,Damage Stamina,Damage Magicka Regen,Fortify Enchanting,,,3019,TRUE
104,Mixed,Creep Cluster,Frost Mirriam,River Betty,2,Damage Stamina Regen,Fortify Carry Weight,,,,6394,TRUE
104,Mixed,Creep Cluster,Histcarp,River Betty,2,Damage Stamina Regen,Fortify Carry Weight,,,,6551,TRUE
104,Mixed,Creep Cluster,Histcarp,Tundra Cotton,2,Damage Stamina Regen,Fortify Magicka,,,,6560,TRUE
104,Mixed,Creep Cluster,Histcarp,Void Salts,2,Damage Stamina Regen,Fortify Magicka,,,,6562,TRUE
104,Mixed,Elves Ear,Spider Egg,Spriggan Sap,2,Fortify Marksman,Damage Magicka Regen,,,,9132,TRUE
104,Mixed,Frost Mirriam,Histcarp,Tundra Cotton,2,Damage Stamina Regen,Fortify Magicka,,,,10380,TRUE
104,Mixed,Frost Mirriam,Histcarp,Void Salts,2,Damage Stamina Regen,Fortify Magicka,,,,10381,TRUE
104,Mixed,Glow Dust,Snowberries,Spriggan Sap,3,Resist Shock,Damage Magicka Regen,Fortify Enchanting,,,11676,TRUE
104,Mixed,Histcarp,Skeever Tail,Tundra Cotton,2,Damage Stamina Regen,Fortify Magicka,,,,12801,TRUE
104,Poison,Frost Mirriam,Red Mountain Flower,Skeever Tail,3,Ravage Magicka,Damage Stamina Regen,Damage Health,,,10529,TRUE
103,Mixed,Blue Butterfly Wing,Glow Dust,Swamp Fungal Pod,2,Damage Magicka Regen,Resist Shock,,,,2877,TRUE
103,Mixed,Blue Dartwing,Glow Dust,Spider Egg,2,Resist Shock,Damage Magicka Regen,,,,3209,TRUE
103,Mixed,Blue Dartwing,Glow Dust,Spriggan Sap,2,Resist Shock,Damage Magicka Regen,,,,3210,TRUE
103,Mixed,Blue Mountain Flower,Glow Dust,Snowberries,2,Damage Magicka Regen,Resist Shock,,,,3642,TRUE
103,Mixed,Creep Cluster,Frost Mirriam,Slaughterfish Scales,2,Damage Stamina Regen,Resist Frost,,,,6399,TRUE
103,Mixed,Creep Cluster,Frost Mirriam,Snowberries,2,Damage Stamina Regen,Resist Frost,,,,6401,TRUE
103,Mixed,Creep Cluster,Frost Mirriam,Thistle Branch,2,Damage Stamina Regen,Resist Frost,,,,6403,TRUE
103,Mixed,Frost Mirriam,Histcarp,Slaughterfish Scales,2,Damage Stamina Regen,Resist Frost,,,,10375,TRUE
103,Mixed,Frost Mirriam,Histcarp,Snowberries,2,Damage Stamina Regen,Resist Frost,,,,10377,TRUE
103,Mixed,Frost Mirriam,Histcarp,Thistle Branch,2,Damage Stamina Regen,Resist Frost,,,,10378,TRUE
103,Mixed,Frost Mirriam,Skeever Tail,Slaughterfish Scales,2,Damage Stamina Regen,Resist Frost,,,,10549,TRUE
103,Mixed,Frost Mirriam,Skeever Tail,Snowberries,2,Damage Stamina Regen,Resist Frost,,,,10552,TRUE
103,Mixed,Frost Mirriam,Skeever Tail,Thistle Branch,2,Damage Stamina Regen,Resist Frost,,,,10553,TRUE
103,Mixed,Glow Dust,Snowberries,Spider Egg,2,Resist Shock,Damage Magicka Regen,,,,11675,TRUE
103,Mixed,Glow Dust,Spider Egg,Swamp Fungal Pod,2,Damage Magicka Regen,Resist Shock,,,,11680,TRUE
103,Mixed,Glow Dust,Spriggan Sap,Swamp Fungal Pod,2,Damage Magicka Regen,Resist Shock,,,,11683,TRUE
103,Poison,Blue Butterfly Wing,Spider Egg,,2,Damage Stamina,Damage Magicka Regen,,,,3020,TRUE
103,Poison,Blisterwort,Blue Butterfly Wing,Glow Dust,2,Damage Stamina,Damage Magicka Regen,,,,2140,TRUE
103,Poison,Blisterwort,Blue Butterfly Wing,Nightshade,2,Damage Stamina,Damage Magicka Regen,,,,2149,TRUE
103,Poison,Blisterwort,Blue Butterfly Wing,Spider Egg,2,Damage Stamina,Damage Magicka Regen,,,,2153,TRUE
103,Poison,Blue Butterfly Wing,Canis Root,Glow Dust,2,Damage Stamina,Damage Magicka Regen,,,,2709,TRUE
103,Poison,Blue Butterfly Wing,Canis Root,Nightshade,2,Damage Stamina,Damage Magicka Regen,,,,2720,TRUE
103,Poison,Blue Butterfly Wing,Glow Dust,Luna Moth Wing,2,Damage Magicka Regen,Damage Magicka,,,,2866,TRUE
103,Poison,Blue Butterfly Wing,Glow Dust,Nirnroot,2,Damage Magicka Regen,Damage Stamina,,,,2869,TRUE
103,Poison,Blue Butterfly Wing,Glow Dust,Nordic Barnacle,2,Damage Magicka Regen,Damage Magicka,,,,2870,TRUE
103,Poison,Blue Butterfly Wing,Glow Dust,Rock Warbler Egg,2,Damage Magicka Regen,Damage Stamina,,,,2873,TRUE
103,Poison,Blue Butterfly Wing,Glow Dust,Spider Egg,2,Damage Magicka Regen,Damage Stamina,,,,2875,TRUE
103,Poison,Blue Butterfly Wing,Nightshade,Rock Warbler Egg,2,Damage Magicka Regen,Damage Stamina,,,,2980,TRUE
103,Poison,Blue Butterfly Wing,Nightshade,Spider Egg,2,Damage Magicka Regen,Damage Stamina,,,,2984,TRUE
103,Poison,Blue Butterfly Wing,Nirnroot,Spider Egg,2,Damage Stamina,Damage Magicka Regen,,,,2995,TRUE
103,Poison,Blue Butterfly Wing,Rock Warbler Egg,Spider Egg,2,Damage Stamina,Damage Magicka Regen,,,,3007,TRUE
103,Poison,Blue Mountain Flower,Glow Dust,Luna Moth Wing,2,Damage Magicka Regen,Damage Magicka,,,,3635,TRUE
103,Poison,Blue Mountain Flower,Glow Dust,Nordic Barnacle,2,Damage Magicka Regen,Damage Magicka,,,,3638,TRUE
103,Poison,Bone Meal,Spider Egg,Spriggan Sap,2,Damage Stamina,Damage Magicka Regen,,,,4154,TRUE
103,Poison,Butterfly Wing,Glow Dust,Spider Egg,2,Damage Magicka,Damage Magicka Regen,,,,4744,TRUE
103,Poison,Butterfly Wing,Glow Dust,Spriggan Sap,2,Damage Magicka,Damage Magicka Regen,,,,4745,TRUE
103,Poison,Deathbell,Nightshade,Spider Egg,2,Damage Health,Damage Magicka Regen,,,,7928,TRUE
103,Poison,Deathbell,Nightshade,Spriggan Sap,2,Damage Health,Damage Magicka Regen,,,,7929,TRUE
103,Poison,Glow Dust,Hagraven Feathers,Spider Egg,2,Damage Magicka,Damage Magicka Regen,,,,11517,TRUE
103,Poison,Glow Dust,Hagraven Feathers,Spriggan Sap,2,Damage Magicka,Damage Magicka Regen,,,,11518,TRUE
103,Poison,Glow Dust,Luna Moth Wing,Spider Egg,2,Damage Magicka,Damage Magicka Regen,,,,11605,TRUE
103,Poison,Glow Dust,Luna Moth Wing,Spriggan Sap,2,Damage Magicka,Damage Magicka Regen,,,,11606,TRUE
103,Poison,Glow Dust,Nordic Barnacle,Spider Egg,2,Damage Magicka,Damage Magicka Regen,,,,11641,TRUE
103,Poison,Glow Dust,Nordic Barnacle,Spriggan Sap,2,Damage Magicka,Damage Magicka Regen,,,,11642,TRUE
103,Poison,Nirnroot,Spider Egg,Spriggan Sap,2,Damage Stamina,Damage Magicka Regen,,,,14536,TRUE
103,Poison,Rock Warbler Egg,Spider Egg,Spriggan Sap,2,Damage Stamina,Damage Magicka Regen,,,,15058,TRUE
102,Poison,Blue Butterfly Wing,Nightshade,Red Mountain Flower,2,Damage Magicka Regen,Damage Health,,,,2978,TRUE
